iter	Passed	Remaining
441	1238	1563
442	1240	1560
443	1243	1557
444	1245	1553
445	1248	1550
446	1250	1546
447	1252	1543
448	1255	1540
449	1257	1537
450	1260	1534
451	1262	1530
452	1265	1527
453	1267	1524
454	1270	1521
455	1272	1518
456	1275	1515
457	1277	1512
458	1280	1508
459	1282	1505
460	1285	1502
461	1287	1499
462	1290	1496
463	1293	1493
464	1296	1491
465	1298	1488
466	1301	1485
467	1303	1482
468	1306	1479
469	1309	1476
470	1311	1473
471	1314	1470
472	1317	1467
473	1320	1464
474	1322	1462
475	1325	1459
476	1328	1456
477	1331	1453
478	1333	1450
479	1337	1448
480	1339	1445
481	1342	1442
482	1344	1439
483	1347	1436
484	1350	1433
485	1352	1430
486	1355	1427
487	1357	1424
488	1360	1421
489	1363	1418
490	1365	1415
491	1368	1413
492	1371	1410
493	1373	1407
494	1376	1404
495	1379	1401
496	1382	1398
497	1384	1395
498	1387	1392
499	1390	1390
500	1392	1386
501	1395	1384
502	1397	1381
503	1400	1378
504	1403	1375
505	1405	1372
506	1408	1369
507	1411	1366
508	1413	1363
509	1415	1360
510	1418	1357
511	1421	1354
512	1423	1351
513	1426	1348
514	1428	1345
515	1431	1342
516	1433	1339
517	1435	1335
518	1437	1332
519	1440	1329
520	1442	1326
521	1445	1323
522	1447	1320
523	1450	1317
524	1453	1315
525	1455	1311
526	1458	1309
527	1460	1305
528	1463	1302
529	1465	1299
530	1467	1296
531	1470	1293
532	1473	1290
533	1475	1287
534	1477	1284
535	1480	1281
536	1483	1278
537	1485	1275
538	1487	1272
539	1490	1269
540	1492	1266
541	1494	1263
542	1497	1260
543	1499	1257
544	1502	1254
545	1504	1251
546	1506	1247
547	1509	1244
548	1511	1242
549	1514	1238
550	1516	1236
551	1519	1233
552	1521	1230
553	1524	1226
554	1526	1223
555	1528	1220
556	1531	1217
557	1534	1215
558	1536	1212
559	1538	1209
560	1541	1206
561	1543	1202
562	1545	1199
563	1547	1196
564	1550	1193
565	1552	1190
566	1554	1187
567	1557	1184
568	1559	1181
569	1561	1178
570	1563	1175
571	1566	1171
572	1568	1168
573	1571	1166
574	1573	1162
575	1575	1159
576	1578	1156
577	1580	1153
578	1582	1150
579	1585	1147
580	1587	1144
581	1589	1141
582	1592	1138
583	1594	1135
584	1596	1132
585	1599	1129
586	1601	1126
587	1603	1123
588	1606	1120
589	1608	1117
590	1610	1114
591	1613	1111
592	1615	1108
593	1617	1105
594	1619	1102
595	1622	1099
596	1624	1096
597	1627	1093
598	1629	1090
599	1631	1087
600	1633	1084
601	1636	1081
602	1638	1078
603	1641	1075
604	1643	1072
605	1645	1070
606	1648	1067
607	1650	1064
608	1652	1061
609	1654	1058
610	1657	1055
611	1659	1052
612	1662	1049
613	1664	1046
614	1666	1043
615	1669	1040
616	1671	1037
617	1674	1034
618	1676	1032
619	1678	1029
620	1681	1026
621	1683	1023
622	1686	1020
623	1688	1017
624	1691	1014
625	1693	1011
626	1695	1008
627	1698	1006
628	1700	1003
629	1703	1000
630	1705	997
631	1707	994
632	1710	991
633	1712	988
634	1715	986
635	1717	983
636	1720	980
637	1722	977
638	1724	974
639	1726	971
640	1729	968
641	1731	965
642	1734	962
643	1736	960
644	1739	957
645	1741	954
646	1743	951
647	1745	948
648	1748	945
649	1750	942
650	1753	939
651	1755	937
652	1757	934
653	1760	931
654	1762	928
655	1765	925
656	1767	922
657	1769	919
658	1772	916
659	1774	914
660	1776	911
661	1778	908
662	1781	905
663	1783	902
664	1785	899
665	1787	896
666	1790	893
667	1792	890
668	1794	887
669	1796	885
670	1799	882
671	1801	879
672	1804	876
673	1806	873
674	1808	870
675	1811	868
676	1813	865
677	1816	862
678	1818	859
679	1821	856
680	1823	854
681	1825	851
682	1828	848
683	1830	845
684	1832	842
685	1835	840
686	1837	837
687	1839	834
688	1842	831
689	1844	828
690	1846	825
691	1848	822
692	1851	820
693	1853	817
694	1856	814
695	1858	811
696	1860	808
697	1862	805
698	1864	802
699	1867	800
700	1869	797
701	1871	794
702	1874	791
703	1876	788
704	1878	786
705	1881	783
706	1883	780
707	1885	777
708	1888	774
709	1890	772
710	1892	769
711	1895	766
712	1897	763
713	1899	761
714	1901	758
715	1904	755
716	1906	752
717	1908	749
718	1911	746
719	1913	744
720	1915	741
721	1918	738
722	1920	735
723	1922	732
724	1925	730
725	1927	727
726	1929	724
727	1931	721
728	1934	719
729	1936	716
730	1939	713
731	1941	710
732	1943	708
733	1946	705
734	1948	702
735	1950	699
736	1952	696
737	1955	694
738	1957	691
739	1960	688
740	1962	686
741	1964	683
742	1967	680
743	1969	677
744	1971	674
745	1974	672
746	1976	669
747	1979	666
748	1981	663
749	1983	661
750	1985	658
751	1988	655
752	1990	652
753	1992	650
754	1994	647
755	1996	644
756	1998	641
757	2001	638
758	2003	636
759	2005	633
760	2007	630
761	2010	627
762	2012	625
763	2015	622
764	2017	619
765	2019	616
766	2022	614
767	2024	611
768	2026	608
769	2028	606
770	2031	603
771	2033	600
772	2035	597
773	2038	595
774	2040	592
775	2043	589
776	2045	587
777	2047	584
778	2050	581
779	2052	578
780	2055	576
781	2057	573
782	2059	570
783	2062	568
784	2064	565
785	2067	562
786	2069	560
787	2072	557
788	2074	554
789	2076	552
790	2079	549
791	2081	546
792	2084	544
793	2086	541
794	2089	538
795	2091	536
796	2094	533
797	2096	530
798	2098	527
799	2100	525
800	2103	522
801	2105	519
802	2107	517
803	2110	514
804	2112	511
805	2115	509
806	2117	506
807	2120	503
808	2122	501
809	2124	498
810	2126	495
811	2129	492
812	2131	490
813	2134	487
814	2136	485
815	2139	482
816	2141	479
817	2144	477
818	2146	474
819	2148	471
820	2151	469
821	2153	466
822	2156	463
823	2158	461
824	2160	458
825	2163	455
826	2165	453
827	2167	450
828	2170	447
829	2172	444
830	2174	442
831	2177	439
832	2179	436
833	2181	434
834	2184	431
835	2186	428
836	2189	426
837	2191	423
838	2193	420
839	2196	418
840	2198	415
841	2200	412
842	2203	410
843	2205	407
844	2208	405
845	2210	402
846	2212	399
847	2214	397
848	2217	394
849	2219	391
850	2222	389
851	2224	386
852	2226	383
853	2229	381
854	2231	378
855	2233	375
856	2235	373
857	2238	370
858	2240	367
859	2242	365
860	2244	362
861	2247	359
862	2249	357
863	2251	354
864	2253	351
865	2256	349
866	2258	346
867	2261	343
