iter	Logloss
0	0.6440245361
1	0.6090949097
2	0.5637360229
3	0.5242372437
4	0.48634729
5	0.4481750488
6	0.4198422241
7	0.3928122559
8	0.3642373047
9	0.341539856
10	0.3198391113
11	0.298435791
12	0.280553894
13	0.266833374
14	0.2517680664
15	0.2368928223
16	0.2251596832
17	0.2134565735
18	0.2007913971
19	0.1904619141
20	0.1793648071
21	0.1682815552
22	0.1586268005
23	0.1511299744
24	0.1436978912
25	0.1363335419
26	0.1301167145
27	0.1232455368
28	0.1194130783
29	0.1139147644
30	0.1092044983
31	0.1050171661
32	0.1004141388
33	0.09664828491
34	0.09401078033
35	0.09102203369
36	0.08847843933
37	0.08579034424
38	0.08380957031
39	0.08176191711
40	0.07898360443
41	0.07679856873
42	0.07507247925
43	0.07246473694
44	0.07082555389
45	0.06958712769
46	0.06772628784
47	0.06650248718
48	0.06515786743
49	0.0641138916
50	0.06196204376
51	0.06077935791
52	0.05949478149
53	0.05888243484
54	0.05810900497
55	0.05667190552
56	0.05565447235
57	0.05499222565
58	0.05417617035
59	0.0532654953
60	0.05279367447
61	0.052181633
62	0.05135418701
63	0.0507898407
64	0.04987766647
65	0.04933104324
66	0.04896474457
67	0.04841723633
68	0.0477509613
69	0.04744849396
70	0.04687009048
71	0.04640865326
72	0.04597969055
73	0.04556659698
74	0.04519015503
75	0.04492359543
76	0.04447676086
77	0.04420414734
78	0.04366664886
79	0.04342305374
80	0.04293112183
81	0.04270671844
82	0.04237547684
83	0.04203809357
84	0.04152639008
85	0.04131613922
86	0.04111295319
87	0.04078600311
88	0.04057783508
89	0.04037942123
90	0.04010567474
91	0.03976815033
92	0.03962910843
93	0.03927111053
94	0.03914710617
95	0.03899921417
96	0.03881989288
97	0.03850345612
98	0.03824255371
99	0.03804234314
100	0.03788687897
101	0.03772323608
102	0.03742446899
103	0.03727389526
104	0.03711653519
105	0.03698983765
106	0.03679294586
107	0.03666937256
108	0.03649685669
109	0.03638887024
110	0.03623562622
111	0.03611275482
112	0.03586460114
113	0.03568545532
114	0.03558388519
115	0.03548807526
116	0.03538945389
117	0.03516525269
118	0.0350240593
